Country;Value Creation;Value Extracttion;Power;Value;Political Power ;Economic Power;Political Value;Economic Value;State Capture;Regulatory Capture;Human Capture;Industry Dominance;Firm Dominance;Creative Destruction ;Giving Income;Taking Income;Unearned Income;Producer Rent;Capital Rent;Labor Rent
Argentina; 41,57 ; 58,43 ; 47,11 ; 38,72 ; 57,59 ; 41,72 ; 49,56 ; 33,13 ; 63,77 ; 57,44 ; 49,57 ; 55,55 ; 68,35 ; 25,59 ; 45,06 ; 57,83 ; 44,49 ; 44,13 ; 24,42 ; 32,53 
Australia; 63,19 ; 36,81 ; 63,39 ; 63,09 ; 68,85 ; 60,58 ; 64,96 ; 62,12 ; 72,84 ; 69,42 ; 62,76 ; 49,89 ; 49,83 ; 69,00 ; 59,53 ; 69,33 ; 66,39 ; 58,44 ; 65,84 ; 61,59 
Botswana; 48,88 ; 51,12 ; 42,72 ; 52,05 ; 46,70 ; 40,67 ; 57,56 ; 49,21 ; 44,24 ; 58,36 ; 33,99 ; 28,64 ; 44,34 ; 43,68 ; 57,82 ; 55,12 ; 60,48 ; 54,99 ; 78,84 ; 17,45 
Brazil; 44,14 ; 55,86 ; 50,19 ; 41,02 ; 53,31 ; 48,58 ; 45,90 ; 38,51 ; 51,59 ; 53,43 ; 55,45 ; 57,07 ; 47,93 ; 45,65 ; 41,10 ; 50,20 ; 46,56 ; 33,86 ; 55,33 ; 26,69 
Canada; 61,91 ; 38,09 ; 62,71 ; 61,50 ; 71,29 ; 58,28 ; 59,56 ; 62,49 ; 80,65 ; 70,39 ; 60,05 ; 54,75 ; 48,62 ; 63,57 ; 50,13 ; 69,16 ; 59,35 ; 66,19 ; 67,85 ; 54,66 
China; 58,41 ; 41,59 ; 58,17 ; 58,54 ; 52,63 ; 61,02 ; 60,80 ; 57,38 ; 49,42 ; 58,93 ; 48,27 ; 66,00 ; 50,20 ; 63,59 ; 70,46 ; 67,50 ; 38,91 ; 29,22 ; 67,99 ; 69,69 
Egypt, Arab Rep.; 39,98 ; 60,02 ; 44,24 ; 37,79 ; 42,97 ; 44,90 ; 45,01 ; 34,07 ; 40,85 ; 46,61 ; 40,80 ; 74,96 ; 54,95 ; 29,50 ; 40,69 ; 53,51 ; 39,42 ; 44,60 ; 47,74 ; 13,25 
France; 57,37 ; 42,63 ; 63,43 ; 54,25 ; 68,78 ; 60,68 ; 52,61 ; 55,09 ; 75,66 ; 71,69 ; 55,64 ; 69,55 ; 52,02 ; 60,91 ; 35,73 ; 61,21 ; 63,71 ; 60,72 ; 60,88 ; 45,36 
Germany; 64,16 ; 35,84 ; 65,00 ; 63,72 ; 71,62 ; 61,59 ; 63,80 ; 63,68 ; 80,33 ; 72,59 ; 58,69 ; 68,30 ; 57,88 ; 60,60 ; 44,20 ; 72,85 ; 77,92 ; 69,62 ; 57,93 ; 64,30 
India; 45,35 ; 54,65 ; 48,38 ; 43,80 ; 53,83 ; 45,57 ; 43,58 ; 43,91 ; 55,45 ; 54,20 ; 51,15 ; 65,36 ; 43,46 ; 39,01 ; 44,61 ; 59,72 ; 20,60 ; 28,41 ; 43,95 ; 56,03 
